htitem_id,Author,Title,Year (json)
umn.31951001018173s,Kerfstedt Amanda,Bland fält och ängar,1895
SoderbergH.Forvillelser,Söderberg Hjalmar,Förvillelser,1895
umn.31951001170544g,Fröding Gustaf,Samlade dikter,1896
hvd.hntac7,Lundegård Axel,Dikter,1896
NyblomH.FantasierFyra,Nyblom Helena,Fantasier: fyra berättelser,1896
mdp.39015030025780,Wickström Victor Hugo,Arnliot Gällina,1896
hvd.hnqls5,Geijerstam Gustaf af,Vilse i livet,1897
mdp.39015030011244,Heidenstam Verner von,Karolinerna,1897
chi.088379873,Lagerlöf Selma,Antikrists mirakler,1897
nyp.33433075866479,Molin Pelle,Ådalens poesi,1897
wau.39352017620030,Nyblom Helena,Det var en gång,1897
uc1.b4785193,Agrell Alfhild,Nordanfrån,1898
FrodingG.Gralstank,Fröding Gustaf,Gralstänk,1898
hvd.hnqls3,Geijerstam Gustaf af,Det yttersta skäret,1898
hvd.hnqls4,Geijerstam Gustaf af,Äktenskapets komedi,1898
hvd.hn5daf,Hallström Per,Våren,1898
wu.89104944947,Karlfeldt Erik Axel,Fridolins visor och andra dikter,1898
LundegardA.Struensee1,Lundegård Axel,Struensee. I. Stadsläkaren i Altona ,1898
wau.39352017620048,Nyblom Helena,Det var en gång,1898
hvd.32044011364056,Söderberg Hjalmar,Historietter,1898
StrindbergA.TillDamaskus,Strindberg August,Till Damaskus,1898
umn.31951001016888x,Wahlenberg Anna,Bindande band,1898
uc1.$b278360,Wickström Victor Hugo,En modern historia i dagboksform berättad af Gunhild,1898
umn.319510011013025,Elkan Sophie,John Hall,1899
hvd.hnta8b,Lagerlöf Selma,En herrgårdssägen,1899
LevertinO.Rococonoveller,Levertin Oscar,Rococo-noveller,1899
LundegardA.Struensee2,Lundegård Axel,Struensee. II. På höjderna,1899
hvd.hwl4nc,Agrell Alfhild,Ingrid en döds kärlekssaga,1900
hvd.hnnann,Ekelund Vilhelm,Vårbris,1900
umn.319510011013033,Elkan Sophie,John Hall,1900
hvd.hnta86,Geijerstam Gustaf af,Boken om lille-bror,1900
umn.31951001070549d,Hansson Ola,Fru Ester Bruce,1900
umn.31951001171763z,Heidenstam Verner von,Sankt Göran och draken,1900
uc1.$b70959,Janson Gustaf,Paradiset,1900
LundegardA.Struensee3,Lundegård Axel,Struensee. III. Korsets väg ,1900
hvd.hntfr3,Strindberg August,Dödsdansen,1900
WallensteenN.FruMargret,Wallensteen Nanna,Fru Margret,1900
umn.31951d00223138l,Berger Henning,Där ute,1901
wu.89009700980,Ekelund Vilhelm,Syner,1901
HanssonO.DikterPaVersO,Hansson Ola,Dikter på vers och prosa ,1901
umn.319510010821120,Heidenstam Verner von,Heliga Birgittas pilgrimsfärd,1901
umn.31951000998266q,Janson Gustaf,Abrahams offer,1901
coo.31924026334171,Karlfeldt Erik Axel,Fridolins lustgård och Dalmålningar på rim,1901
KerfstedtA.Reflexer,Kerfstedt Amanda,Reflexer,1901
wu.89098576853,Lagerlöf Selma,Jerusalem,1901
umn.31951001119929n,Söderberg Hjalmar,Martin Bircks ungdom,1901
wu.89009701020,Ekelund Vilhelm,Melodier i skymning,1902
hvd.hnnalf,Hallström Per,Döda fallet,1902
umn.31951001018139s,Kerfstedt Amanda,Blåklint,1902
wu.89098576861,Lagerlöf Selma,Jerusalem,1902
mdp.39015030017100,Lundegård Axel,Elsa Finne,1902
uc1.$b483449,Nyblom Helena,Det ringer!,1902
hvd.hwnnss,Roos Anna Maria,Aderton år,1902
wu.89002343630,Strindberg August,Ett drömspel,1902
BenzonK.Detektivbragder,Benzon Karl,Detektivbragder eller Stockholmsmysterier,1903
mdp.39015030002771,Berger Henning,Ridå,1903
wu.89009454646,Bergman Bo,Marionetterna,1903
uc1.b2854034,Ekelund Vilhelm,Elegier,1903
wu.89098577703,Janson Gustaf,Nils Dobblare,1903
hvd.hwlcwp,Lagerlöf Selma,Herr Arnes Penningar,1903
NyblomH.EnSagokrans,Nyblom Helena,En sagokrans,1903
SoderbergH.Framlingarna,Söderberg Hjalmar,Främlingarna,1903
hvd.hnj8aj,Bergman Bo,Drömmen och andra noveller,1904
wu.89099783268,Geijerstam Gustaf af,Karin Brandts dröm,1904
umn.319510011788408,Heidenstam Verner von,Skogen susar,1904
hvd.hwlcry,Lagerlöf Selma,Kristuslegender,1904
hvd.hntfgd,Strindberg August,Götiska rummen,1904
BergerH.Ysail,Berger Henning,Ysaïl,1905
wu.89009701053,Ekelund Vilhelm,In Candidum,1905
mdp.39015030065539,Geijerstam Gustaf af,Andreas Vik,1905
nyp.33433075867410,Heidenstam  Verner von,Folke Filbyter,1905
hvd.hntabp,Levertin Oscar,Kung Salomo och Morolf,1905
hvd.hntdv6,Österling Anders,Offerkransar,1905
hvd.hnnanp,Ekelund Vilhelm,Dithyramber i aftonglans,1906
hvd.hnqlu1,Ekelund Vilhelm,Hafvets stjärna,1906
hvd.hnqlu2,Ekelund Vilhelm,Grekisk bukett,1906
chi.090504133,Hallström Per,En skälmroman,1906
wu.89099783706,Hallström Per,De fyra elementerna,1906
mdp.39015030010998,Karlfeldt Erik Axel,Flora och Pomona,1906
mdp.39015078575720,Lagerlöf Selma, Nils Holgerssons underbara resa genom Sverige,1906
umn.31951001103025v,Nordström Ludvig,Kains land,1906
hvd.hntdv3,Österling Anders,Nattens röster,1906
uc1.$b136041,Siwertz Sigfrid,Margot med flera berättelser,1906
umn.31951001017648c,Bergman Hjalmar,Blå Blommor,1907
FitinghoffL.BarnenIfranFrostmofjallet,Fitinghoff Laura,Barnen ifrån Frostmofjället,1907
hvd.hnkgrq,Hansson Ola,Nya visor,1907
hvd.hwlc6z,Hedberg Tor,Johan Ulfstjerna,1907
mdp.39015030013026,Heidenstam Verner von,Bjälboarvet,1907
KampeA.Tralar,Kämpe Alfred,Trälar,1907
mdp.39015078575738,Lagerlöf Selma, Nils Holgerssons underbara resa genom Sverige,1907
umn.31951001065541a,Nordström Ludvig,Fiskare,1907
