htid,author,title,year
mdp.39015007049300,"Masefield, John,",Salt-water ballads,1916
mdp.39015008020441,"Mitford, Mary Russell,",Our village,1824
mdp.39015008425301,"Cross, Victoria (Annie Sophie Cory)", Six Chapters of a Man's Life,1903
mdp.39015008628714,"West, Rebecca", The Return of the Soldier,1918
mdp.39015011506139,"Lewis, Wyndham,",Tarr,1918
mdp.39015012266212,"Buchan, John", Salute to Adventures,1915
mdp.39015013013639,Rudyard Kipling,Kim,1901
mdp.39015013151769,H Haggard,King Solomon's Mines,1885
mdp.39015014117686,"Porter, Jane,",The pastor's fire-side,1815
mdp.39015018287063,Lewis Carroll,Through the Looking-Glass,1871
mdp.39015019374530,"Conrad, Joseph", Lord Jim,1903
mdp.39015019775496,"Shelley, Percy Bysshe,",Adonais,1821
mdp.39015020073196,Edwin Abbott Abbott,Flatland,1884
mdp.39015021269652,Rudyard Kipling,The betrothed;,1886
mdp.39015021279255,"Cavendish, Georgiana", The Sylph,1778
mdp.39015023133641,"D?rcy, Ella", Monochromes,1895
mdp.39015025189880,Lewis Carroll,Alice's Adventures in Wonderland,1865
mdp.39015026741432,"Chamier, Frederick", Life of a Sailor,1839
mdp.39015027743502,Richard Steele,The Husbandman's Calling,1663
mdp.39015027815458,"Cory, Vivian (Annie Sophie Cory)", The Woman Who Didn?,1895
mdp.39015030128154,"Goldsmith, Oliver,",She stoops to conquer,1773
mdp.39015030149564,"Eliot, George,",Adam Bede,1859
mdp.39015031105581,"Collins, Wilkie,",The black robe,1881
mdp.39015031238986,Frank Harris,Great Days,1914
mdp.39015031325791,Aldous Huxley,Mortal Coils,1921
mdp.39015031627592,"Buchanan, Robert"," Tragic dramas from history, with legendary and other poems",1868
mdp.39015032858097,"Gray, Thomas,",An elegy written in a country churchyard,1751
mdp.39015033791503,"Zangwill, Israel,",Children of the Ghetto,1892
mdp.39015035550162,"Edgeworth, Maria,",Helen,1834
mdp.39015035876260,"Frankau, Julia-- Under Danby, Frank", Pigs in Clover,1903
mdp.39015036663766,"BrontÌÎ_‰Û¡ÌÝ_, Charlotte,",Jane Eyre,1847
mdp.39015038701317,"De Quincey, Thomas,",Confessions of an English opium-eater,1821
mdp.39015041913396,"Maugham, William Somerset", The Moon and Sixpence,1919
mdp.39015046801612,"Huxley, Aldous,",Crome yellow,1921
mdp.39015047755395,"Grossmith, George,",The diary of a nobody,1892
mdp.39015049200135,Johnathan Swift,A Modest Proposal,1729
mdp.39015049860482,Rudyard Kipling,Collected Verse of Rudyard Kipling,1915
mdp.39015050806895," Voynich, Ethel Lilian", The Gadfly,1897
mdp.39015053147628,"Stevenson, Robert Louis,",Treasure island;,1885
mdp.39015053665660,"Fielding, Henry,",The adventures of Joseph Andrews & his friend Mr. Abraham Adams,1742
mdp.39015055397320,"Borrow, George Henry", The Romany Rye,1857
mdp.39015056795191,"Fielding, Henry,",The history of Tom Jones,1749
mdp.39015057077300,"Peacock, Thomas Love,",Nightmare Abbey,1818
mdp.39015063516614,"Borrow, George Henry,",Lavengro;,1851
mdp.39015063522026,"Eliot, George,",Romola,1863
