Filename,HTID,Author,Title,Year,Region,Rights,OCLC
mdp_39015002311556.json,mdp.39015002311556,Burnett Frances Hodgson,The Secret Garden,1911,northeast,1,1289609
mdp_39015003928853.json,mdp.39015003928853,Gernsback Hugo,Ralph 124C 41+; A Romance Of The Year 2660. Forewords,1950,northeast,1,1138865
mdp_39015005473304.json,mdp.39015005473304,Twain Mark,The Adventures Of Tom Sawyer,1876,midwest,1,4553926
mdp_39015005603967.json,mdp.39015005603967,Brooks Byron Alden,Earth Revisited,1893,northeast,1,6414549
mdp_39015005711273.json,mdp.39015005711273,Burnett Frances Hodgson,The Lost Prince,1915,northeast,1,16533034
mdp_39015006572849.json,mdp.39015006572849,Howells William Dean,The Whole Family: A Novel,1908,midwest,1,2980384
mdp_39015008171327.json,mdp.39015008171327,Lewis Sinclair,The Trail Of The Hawk; A Comedy Of The Seriousness Of Life,1915,midwest,9,1422001
mdp_39015008260450.json,mdp.39015008260450,King Grace Elizabeth,Creole Families Of New Orleans,1921,south,1,713223
mdp_39015008499926.json,mdp.39015008499926,Adams Henry,Democracy: An American Novel,1883,newengland,1,17968991
mdp_39015008784962.json,mdp.39015008784962,Richards Anna M.,A New Alice In The Old Wonderland,1895,northeast,1,4.87E+12
mdp_39015009219281.json,mdp.39015009219281,Bird Robert Montgomery,Nick Of The Woods; Or The Jibbenainosay; A Tale Of Kentucky,1853,northeast,1,5046579
mdp_39015011014738.json,mdp.39015011014738,Cummings E. E.,The Enormous Room,1927,newengland,1,24494820
mdp_39015011683219.json,mdp.39015011683219,Twain Mark,Personal Recollections Of Joan Of Arc,1899,midwest,9,5762422
mdp_39015012122308.json,mdp.39015012122308,Dreiser Theodore,The Financier,1912,midwest,1,2976677
mdp_39015012328574.json,mdp.39015012328574,Burnett Frances Hodgson,A Little Princess; Being The Whole Story Of Sara Crewe Now Told For The First Time,1905,northeast,1,3583161
mdp_39015012351097.json,mdp.39015012351097,Webster Jean I.E. Alice Jean,Dear Enemy,1915,northeast,1,491292
mdp_39015012372374.json,mdp.39015012372374,Deland Margaret Wade Campbell,The Awakening Of Helena Richie ...,1906,northeast,1,607149
mdp_39015012982347.json,mdp.39015012982347,Mercer A. S.,"The Banditti Of The Plains; Or The Cattlemen'S Invasion Of Wyoming In 1892--""The Crowning Infamy Of The Ages."" New Foreword",1935,west,1,62360569
mdp_39015013017218.json,mdp.39015013017218,Wilson Margaret,The Able Mclaughlins,1923,midwest,1,318376
mdp_39015013395200.json,mdp.39015013395200,Cabell James Branch,Figures Of Earth; A Comedy Of Appearances,1921,south,1,8595168
mdp_39015014204781.json,mdp.39015014204781,Howells William Dean,An Imperative Duty: A Novel,1891,midwest,1,647526
mdp_39015016414883.json,mdp.39015016414883,Melville Herman,Typee; Or A Narrative Of A Four Month'S Residence Among The Natives Of A Valley Of The Marquesas Islands; Or A Peep At Polynesian Life,1847,northeast,1,62605159
mdp_39015016768288.json,mdp.39015016768288,Chopin Kate,Bayou Folk,1894,midwest,1,7311970
mdp_39015016794524.json,mdp.39015016794524,Fuller Henry Blake,Bertram Cope'S Year A Novel,1919,midwest,1,612704
mdp_39015017673990.json,mdp.39015017673990,London Jack,Michael Brother Of Jerry,1917,west,9,587955
mdp_39015018334048.json,mdp.39015018334048,Harris Joel Chandler,Uncle Remus His Songs And His Sayings;: The Folk-Lore Of The Old Plantation,1880,south,1,26867591
mdp_39015019188047.json,mdp.39015019188047,Prime-Stevenson Edward,Imre: A Memorandum,1975,northeast,9,1527477
mdp_39015020107242.json,mdp.39015020107242,Sheldon Charles Monroe,"In His Steps; ""What Would Jesus Do?""",1898,northeast,1,9024306
mdp_39015024079637.json,mdp.39015024079637,Austin Mary Hunter,The Basket Woman A Book Of Fanciful Tales For Children,1904,west,1,2555698
mdp_39015027550808.json,mdp.39015027550808,Burgess Thornton W.,The Adventures Of Paddy The Beaver,1917,newengland,1,10846053
mdp_39015030542347.json,mdp.39015030542347,Green Anna Katharine,"Marked ""Personal""",1893,northeast,1,7449134
mdp_39015030711025.json,mdp.39015030711025,Reed Myrtle,Lavender And Old Lace,1902,midwest,1,2052561
mdp_39015030719150.json,mdp.39015030719150,Wharton Edith,The Touchstone,1900,northeast,1,297310
mdp_39015030736238.json,mdp.39015030736238,Cable George Washington,Madame Delphine,1881,south,1,272685
mdp_39015030915485.json,mdp.39015030915485,Murfree Mary Noailles,The Frontiersmen,1904,south,1,2686154
mdp_39015034265077.json,mdp.39015034265077,Burnett Frances Hodgson,Little Lord Fauntleroy,1887,northeast,1,38764285
mdp_39015035309460.json,mdp.39015035309460,Stein Gertrude,Paris France,1940,west,1,5225316
mdp_39015035315129.json,mdp.39015035315129,Wharton Edith,The Age Of Innocence,1920,northeast,1,891210
mdp_39015035366403.json,mdp.39015035366403,Buck Pearl S.,The Mother,1934,south,1,981768
mdp_39015035505349.json,mdp.39015035505349,Baum L. Frank,Ozma Of Oz,1907,northeast,1,9229842
mdp_39015050991135.json,mdp.39015050991135,Hough Emerson,The Mississippi Bubble,1902,midwest,1,6953674
mdp_39015053140656.json,mdp.39015053140656,London Jack,The Game,1905,west,1,4731772
mdp_39015054090355.json,mdp.39015054090355,Lewis Sinclair,Main Street,1920,midwest,1,1922605
mdp_39015059371784.json,mdp.39015059371784,Riley James Whitcomb,Rhymes Of Childhood,1892,midwest,1,33020545
mdp_39015059719248.json,mdp.39015059719248,Hergesheimer Joseph,Linda Condon,1919,northeast,1,242478
mdp_39015059788557.json,mdp.39015059788557,Taylor Phoebe Atwood,The Cape Cod Mystery,1931,newengland,1,1517839
mdp_39015063545365.json,mdp.39015063545365,Cooper James Fenimore,The Pioneers; Or The Sources Of The Susquehanna. A Descriptive Tale,1880,northeast,1,21281001
mdp_39015063740164.json,mdp.39015063740164,Allen James Lane,The Choir Invisible,1897,south,9,544175
mdp_39015063759784.json,mdp.39015063759784,Tarkington Booth,Alice Adams,1921,midwest,1,2096412
mdp_39015063927910.json,mdp.39015063927910,Runkle Bertha,The Helmet Of Navarre; Illustrations,1901,northeast,1,3661560
mdp_39015063944303.json,mdp.39015063944303,Mundy Talbot,Hira Singh,1918,northeast,1,2705139
