Filename,HTID,Author,Title,Year,Region,Rights,OCLC
umn_31951002314608a.json,umn.31951002314608a,Melville Herman,The Confidence-Man: His Masquerade,1857,northeast,1,1862021
uva_x000078365.json,uva.x000078365,Wylie Philip,Gladiator [By] Philip Wylie,1930,northeast,2,3703960
uva_x000211129.json,uva.x000211129,Cahan Abraham,The Rise Of David Levinsky: A Novel,1951,northeast,9,4.73E+13
uva_x000362635.json,uva.x000362635,Grant Robert,Unleavened Bread A Novel,1900,newengland,1,477011537
uva_x000593755.json,uva.x000593755,Thompson Ruth Plumly,The Cowardly Lion Of Oz,1923,northeast,1,1665506
uva_x000835612.json,uva.x000835612,Baum L. Frank,The Patchwork Girl Of Oz,1913,northeast,9,1385384
uva_x000890006.json,uva.x000890006,Peterson Charles J.,The Cabin And Parlor;,1852,northeast,1,213516308
uva_x000961129.json,uva.x000961129,Adams Samuel Hopkins,Flaming Youth [By] Warner Fabian Pseud,1924,northeast,2,2452737
uva_x001007721.json,uva.x001007721,Whitman Walt,Franklin Evans; Or The Inebriate. A Tale Of The Times. With Introduction,1929,northeast,9,1335046
uva_x001084053.json,uva.x001084053,Hawthorne Nathaniel,Fanshawe And Other Pieces,1876,newengland,1,1836086
uva_x002014207.json,uva.x002014207,Pyle Howard,The Story Of The Grail And The Passing Of Arthur,1910,south,1,3319662
uva_x002015843.json,uva.x002015843,Murfree Mary Noailles,In The Tennessee Mountains;,1885,south,1,11123190
uva_x002059568.json,uva.x002059568,Reid Christian,The Land Of The Sky;,1876,south,1,1410636
uva_x004548149.json,uva.x004548149,Robertson Morgan,The Wreck Of The Titan: Or Futility,1929,northeast,9,21309854
uva_x030580544.json,uva.x030580544,London Jack,Before Adam,1906,west,1,6542652
wu_89002441343.json,wu.89002441343,Baum L. Frank,The Magic Of Oz,1919,northeast,1,7748894
wu_89005059373.json,wu.89005059373,Mccutcheon George Barr,The Day Of The Dog,1904,midwest,1,7793953
wu_89007333735.json,wu.89007333735,Burgess Thornton W.,The Adventures Of Danny Meadow Mouse,1919,newengland,1,19705996
wu_89075322529.json,wu.89075322529,Schmidt Sarah Lindsay,New Land A Novel For Boys And Girls,1933,midwest,1,4092380
wu_89098007586.json,wu.89098007586,Satterthwait Elisabeth Carpenter,A Son Of The Carolinas: A Story Of The Hurricane Upon The Sea Islands,1898,south,1,1927621
wu_89098013949.json,wu.89098013949,Burnett Frances Hodgson,Queen Silver-Bell,1906,northeast,1,13718601
wu_89098015142.json,wu.89098015142,Child Lydia Maria,Hobomok A Tale Of Early Times,1824,newengland,1,2915626
wu_89098878929.json,wu.89098878929,Austin Mary Hunter,The Flock,1906,west,1,21735574
wu_89098985658.json,wu.89098985658,Tarkington Booth,Gentle Julia,1922,midwest,1,12274502
wu_89099773699.json,wu.89099773699,Churchill Winston,A Far Country/,1915,newengland,9,17538811
wu_89099774077.json,wu.89099774077,Twain Mark,Tom Sawyer Detective: And Other Stories,1924,midwest,1,40343576
