filename,publication date
wu_89008821894.xml,1918
wu_89008821902.xml,1919
wu_89008924250.xml,1870
wu_89010299436.xml,1907
wu_89038375044.xml,1835
wu_89040490369.xml,1905
wu_89041135864.xml,1887
wu_89044754174.xml,1904
wu_89046693669.xml,1920
wu_89049108046.xml,1831
wu_89053458592.xml,1833
wu_89056643711.xml,1817
wu_89073559106.xml,1909
wu_89079704417.xml,1894
wu_89089204119.xml,1900
wu_89092527142.xml,1835
wu_89092533108.xml,1890
wu_89092583871.xml,1918
wu_89099421687.xml,1886
wu_89099421711.xml,1905
wu_89099421737.xml,1914
wu_89099489288.xml,1839
wu_89099489304.xml,1840
wu_89099489320.xml,1833
wu_89099489346.xml,1841
wu_89099489361.xml,1838
wu_89099520066.xml,1833
wu_89099520108.xml,1845
wu_89099520116.xml,1845
wu_89099520579.xml,1911
wu_89099549297.xml,1913
wu_89099549313.xml,1919
wu_89103955134.xml,1921
wu_89104407416.xml,1828
